company,Rating,Discount,DiscountPrice,MRP,reviews,ScreenSize,Edition,SoundOutput,Warranty
XIAOMI,4,42,57890,99990,233.625,165 cm (65 inch),2025,34 W,Unknown
Thomson,4.3,37,43999,69999,0,164 cm (65 inch),2025,70 W,1 Year
Thomson,4.3,55,4499,9999,6,Unknown,2023,20 W,1 Year
TCL,4.1,55,44490,98990,24,139 cm (55 inch),2025,40 W,Unknown
Thomson,4.3,36,31999,49999,0,139 cm (55 inch),2025,70 W,1 Year
Thomson,4.3,52,61999,129999,0,189 cm (75 inch),2025,70 W,1 Year
Samsung,4.3,36,11999,18900,7,Unknown,2022,20 W,1 Year
Samsung,4.3,21,13990,17900,7,80 cm (32 inch),2025,20 W,2 Year
realme,4.3,58,9999,23999,1,80 cm (32 inch),2025,26 W,1 Year
LG,4.4,53,22999,49990,2,108 cm (43 inch),2023,20 W,1 Year
TCL,4,56,25990,59990,233.625,108 cm (43 inch),2025,24 W,Unknown
LG,4.4,37,28990,46090,2,108 cm (43 inch),2025,20 W,1-Year
iFFALCON,4.1,62,24999,66599,233.625,138 cm (55 inch),2025,24 W,1 Year
iFFALCON,4.1,63,18499,50990,233.625,108 cm (43 inch),2025,24 W,1 Year
BESTON,3.8,61,6999,17999,233.625,80 cm (32 inch),2025,20 W,2 Year
BESTON,3.8,65,20999,59999,178,140 cm (55 inch),2025,30 W,2 Year
LG,4.4,43,36589,64490,2,126 cm (50 inch),2025,20 W,1-Year
Thomson,4.3,55,7999,17999,21,80 cm (32 inch),2023,30 W,1 Year
MarQ,4.1,66,4999,15000,233.625,60 cm (24 inch),2024,20 W,Unknown
SONY,4.6,36,57990,91900,3,8 cm (55 inch),2025,20 W,1 Year
MOTOROLA,4.3,61,10490,26999,1,80 cm (32 inch),2025,40 W,1 year
XIAOMI,4,51,12999,26999,233.625,80 cm (32 inch),2025,20 W,1 year
BESTON,3.8,50,11999,23999,233.625,109 cm (43 inch),2025,20 W,2 Year
BESTON,3.8,45,10999,19999,233.625,101 cm (40 inch),2025,20 W,2 Year
TCL,4,63,33990,93990,233.625,139 cm (55 inch),2025,24 W,Unknown
Thomson,4,47,6299,11999,233.625,60 cm (24 inch),2025,24 W,1 Year
LG,4.4,34,13990,21240,5,80 cm (32 inch),2025,10 W,1-Year
LG,4.3,26,15490,20990,1,80 cm (32 inch),2025,20 W,1-Year
iFFALCON,4.1,57,8499,19990,233.625,80 cm (32 inch),2025,16 W,1 Year
realme,4.3,53,22499,48799,1,109 cm (43 inch),2025,40 W,Unknown
Samsung,4.3,47,34999,67200,4,138 cm (55 inch),2023,20 W,2 Year
Thomson,4.1,47,5499,10499,3,60 cm (24 inch),2025,20 W,1 Year
XIAOMI,4,44,24999,44999,233.625,108 cm (43 inch),2025,30 W,1 year
